from,to,condition,sheet
普通数码蛋,黑球兽,创始村数码蛋概率获得,幼年期I进化路线
黑球兽,滚球兽,等级≥ 2,幼年期I进化路线
普通数码蛋,雪球兽,创始村数码蛋概率获得,幼年期I进化路线
雪球兽,喵喵兽,等级≥ 2,幼年期I进化路线
普通数码蛋,普尼兽,创始村数码蛋概率获得,幼年期I进化路线
普尼兽,犄角兽,等级≥ 2,幼年期I进化路线
普通数码蛋,小龙兽,创始村数码蛋概率获得,幼年期I进化路线
小龙兽,幼龙兽,等级≥ 2,幼年期I进化路线
普通数码蛋,芝高兽,创始村数码蛋概率获得,幼年期I进化路线
芝高兽,豆丁兽,等级≥ 2,幼年期I进化路线
普通数码蛋,绿叶兽,创始村数码蛋概率获得,幼年期I进化路线
绿叶兽,蓑虫兽,等级≥ 2,幼年期I进化路线
普通数码蛋,普路路兽,创始村数码蛋概率获得,幼年期I进化路线
普路路兽,珀罗兽,等级≥ 2,幼年期I进化路线
普通数码蛋,粒粒兽,创始村数码蛋概率获得,幼年期I进化路线
粒粒兽,乌帕兽,等级≥ 2,幼年期I进化路线
普通数码蛋,泡泡兽,创始村数码蛋概率获得,幼年期I进化路线
泡泡兽,年糕兽,等级≥ 2,幼年期I进化路线
普通数码蛋,漂游兽,创始村数码蛋概率获得,幼年期I进化路线
漂游兽,布加兽,等级≥ 2,幼年期I进化路线
普通数码蛋,电鼠兽,创始村数码蛋概率获得,幼年期I进化路线
电鼠兽,卡普利兽,等级≥ 2,幼年期I进化路线
普通数码蛋,狡诈兽,创始村数码蛋概率获得,幼年期I进化路线
狡诈兽,帕古兽,等级≥ 2,幼年期I进化路线
普通数码蛋,水母兽,创始村数码蛋概率获得,幼年期I进化路线
水母兽,钩爪兽,等级≥ 2,幼年期I进化路线
嘿嘿兽数码蛋,嘿嘿兽,地下城孵化器概率获得,幼年期I进化路线
嘿嘿兽,也也兽,等级≥ 2,幼年期I进化路线
普通数码蛋,烟云兽,创始村数码蛋概率获得,幼年期I进化路线
烟云兽,小火焰兽,等级≥ 2,幼年期I进化路线
普通数码蛋,果冻兽,创始村数码蛋概率获得,幼年期I进化路线
果冻兽,软糖兽,等级≥ 2,幼年期I进化路线
普通数码蛋,可可兽,创始村数码蛋概率获得,幼年期I进化路线
可可兽,巧克力兽,等级≥ 2,幼年期I进化路线
普通数码蛋,多多兽,创始村数码蛋概率获得,幼年期I进化路线
多多兽,多利兽,等级≥ 2,幼年期I进化路线
普通数码蛋,沙砾兽,创始村数码蛋概率获得,幼年期I进化路线
沙砾兽,基基兽,等级≥ 2,幼年期I进化路线
普通数码蛋,狐狐兽,创始村数码蛋概率获得,幼年期I进化路线
狐狐兽,波可兽,等级≥ 2,幼年期I进化路线
普通数码蛋,纽奇兽,创始村数码蛋概率获得,幼年期I进化路线
