name,stage,type,element,attribute
普通数码蛋,数码蛋,,,
黑球兽,幼年期I,巨龙,,
滚球兽,幼年期II,无,火,无No
巨龙数码蛋,数码蛋,,,
迪哥兽,幼年期II,无,自由,无No
帕古兽,幼年期II,无,暗,无No
汪喵兽,幼年期II,无,风,无No
皮那兽,幼年期II,无,风,无No
雪球兽,幼年期I,野兽,,
喵喵兽,幼年期II,无,光,无No
海兽数码蛋,数码蛋,,,
犄角兽,幼年期II,无,土,无No
寒冷兽,幼年期II,无,冰,无No
普尼兽,幼年期I,野兽,,
野兽数码蛋,数码蛋,,,
布加兽,幼年期II,无,水,无No
小火焰兽,幼年期II,无,火,无No
小龙兽,幼年期I,巨龙,,
幼龙兽,幼年期II,无,火,无No
芝高兽,幼年期I,巨龙,,
豆丁兽,幼年期II,无,自由,无No
绿叶兽,幼年期I,昆虫,,
蓑虫兽,幼年期II,无,木,无No
昆虫数码蛋,数码蛋,,,
普路路兽,幼年期I,鸟类,,
珀罗兽,幼年期II,无,风,无No
鸟类数码蛋,数码蛋,,,
粒粒兽,幼年期I,野兽,,
乌帕兽,幼年期II,无,水,无No
泡泡兽,幼年期I,昆虫,,
年糕兽,幼年期II,无,自由,无No
比高兽,幼年期II,无,木,无No
种子兽,幼年期II,无,木,无No
漂游兽,幼年期I,水生,,
软糖兽,幼年期II,无,自由,无No
电鼠兽,幼年期I,机械,,
卡普利兽,幼年期II,无,钢,无No
机械数码蛋,数码蛋,,,
狡诈兽,幼年期I,黑暗,,
水母兽,幼年期I,黑暗,,
钩爪兽,幼年期II,无,暗,无No
黑暗数码蛋,数码蛋,,,
嘿嘿兽数码蛋,数码蛋,,,
嘿嘿兽,幼年期I,黑暗,,
也也兽,幼年期II,无,暗,无No
烟云兽,幼年期I,黑暗,,
果冻兽,幼年期I,野兽,,
可可兽,幼年期I,野兽,,
巧克力兽,幼年期II,无,自由,无No
多多兽,幼年期I,野兽,,
多利兽,幼年期II,无,自由,无No
沙砾兽,幼年期I,巨龙,,
基基兽,幼年期II,无,火,无No
狐狐兽,幼年期I,野兽,,
波可兽,幼年期II,无,自由,无No
纽奇兽,幼年期I,植物,,
植物数码蛋,数码蛋,,,
比兹兽,幼年期I,水生,,
普瓦兽,幼年期I,鸟类,,
浮球兽,幼年期I,植物,,
小天使兽,幼年期I,神圣,,
丘比兽,幼年期II,无,光,无No
神圣数码蛋,数码蛋,,,
小拨片兽数码蛋,数码蛋,,,
小拨片兽,幼年期I,机械,,
拨片兽,幼年期II,无,自由,无No
溜溜兽数码蛋,数码蛋,,,
溜溜兽,幼年期I,巨龙,,
墩墩兽,幼年期II,无,土,无No
炸弹兽,幼年期I,巨龙,,
导弹兽,幼年期II,无,钢,无No
普斯兽数码蛋,数码蛋,,,
普斯兽,幼年期I,野兽,,
普斯利兽,幼年期II,无,自由,无No
强化巨龙数码蛋,数码蛋,,,
亚古兽,成长期,巨龙,火,疫苗Va
亚古兽（黑）,成长期,巨龙,火,病毒Vi
贝塔兽,成长期,水生,雷,病毒Vi
积木亚古兽,成长期,机械,钢,疫苗Va
雪人亚古兽,成长期,水生,冰,疫苗Va
V仔兽,成长期,巨龙,自由,未知Un
龙仔兽,成长期,巨龙,火,数据Da
基尔兽,成长期,巨龙,火,病毒Vi
哈克兽,成长期,巨龙,钢,数据Da
点阵亚古兽,成长期,巨龙,自由,疫苗Va
强化野兽数码蛋,数码蛋,,,
加布兽,成长期,野兽,冰,数据Da
加布兽（黑）,成长期,野兽,冰,病毒Vi
迷幻兽,成长期,野兽,雷,数据Da
加奥兽,成长期,野兽,自由,数据Da
电力兽,成长期,野兽,雷,数据Da
哥布林兽,成长期,黑暗,暗,病毒Vi
单角龙兽,成长期,巨龙,自由,疫苗Va
企鹅兽,成长期,鸟类,冰,疫苗Va
强化神圣数码蛋,数码蛋,,,
巴达兽,成长期,神圣,风,数据Da
大耳兽,成长期,野兽,风,疫苗Va
古尼兽,成长期,昆虫,雷,病毒Vi
光明兽,成长期,神圣,光,疫苗Va
小毒蜘蛛兽,成长期,昆虫,土,病毒Vi
犰狳兽,成长期,野兽,土,未知Un
麻鹰兽,成长期,鸟类,风,未知Un
高吼兽,成长期,巨龙,火,数据Da
强化黑暗数码蛋,数码蛋,,,
加支兽,成长期,野兽,暗,病毒Vi
小恶魔兽,成长期,黑暗,暗,病毒Vi
使魔兽,成长期,黑暗,风,病毒Vi
小妖兽,成长期,黑暗,暗,病毒Vi
黑大耳兽,成长期,野兽,冰,数据Da
多路兽,成长期,野兽,自由,数据Da
管狐兽（黄）,成长期,神圣,光,疫苗Va
小狗兽,成长期,野兽,光,疫苗Va
雪哥布林兽,成长期,黑暗,冰,病毒Vi
乌龟兽,成长期,水生,水,数据Da
流光兽,成长期,野兽,自由,未知Un
龙蛇兽,成长期,巨龙,自由,疫苗Va
闪蝶兽,成长期,昆虫,自由,疫苗Va
强化鸟类数码蛋,数码蛋,,,
猎鹰兽,成长期,鸟类,风,疫苗Va
比丘兽,成长期,鸟类,风,疫苗Va
麻雀兽,成长期,鸟类,钢,数据Da
泳鱼兽,成长期,水生,水,疫苗Va
顽石兽,成长期,机械,土,数据Da
狐狸兽,成长期,野兽,自由,数据Da
汀克兽,成长期,昆虫,风,病毒Vi
强化海兽数码蛋,数码蛋,,,
哥玛兽,成长期,水生,水,疫苗Va
砗磲兽,成长期,水生,水,病毒Vi
螃蟹兽,成长期,水生,钢,数据Da
蝌蚪兽,成长期,水生,水,病毒Vi
透明玩具亚古兽,成长期,机械,自由,疫苗Va
强化机械数码蛋,数码蛋,,,
蜡烛兽,成长期,黑暗,火,数据Da
火焰兽,成熟期,机械,火,数据Da
火波兽,成长期,巨龙,火,病毒Vi
刺针兽,成长期,机械,钢,病毒Vi
野火兽,成长期,野兽,火,未知Un
强化昆虫数码蛋,数码蛋,,,
虫虫兽,成长期,昆虫,木,未知Un
甲虫兽,成长期,昆虫,雷,疫苗Va
水果兽,成长期,植物,风,数据Da
迪路兽（成长期）,成长期,野兽,光,未知Un
管狐兽,成长期,神圣,自由,疫苗Va
幻蜂兽,成长期,昆虫,风,病毒Vi
齿轮兽,成长期,机械,钢,病毒Vi
